fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
9.1,0.646,0.291,1.18,0.139,12.0,39.9,0.9968,3.04,0.784,10.45,6
5.91,0.552,0.253,2.35,0.051,19.3,49.6,0.9973,3.43,0.544,9.94,6
6.8,0.779,0.4,3.16,0.127,19.0,44.8,0.994,3.35,0.342,9.34,3
5.68,0.44,0.053,2.15,0.144,8.5,39.5,0.9945,3.18,0.639,11.04,6
7.73,0.691,0.316,1.79,0.073,19.1,38.4,0.9982,3.04,0.533,12.34,5
7.62,0.447,0.297,2.48,0.072,18.2,19.6,1.0004,3.47,0.728,10.72,6
7.91,0.581,0.672,3.96,0.047,15.1,41.5,0.9964,3.5,0.765,10.03,5
7.45,0.476,0.477,1.1,0.091,1.9,31.7,0.9941,3.38,0.729,11.57,6
10.31,0.746,0.305,0.78,0.082,6.2,9.1,0.999,3.2,0.569,12.05,5
8.5,0.318,0.53,3.17,0.191,18.7,52.7,0.9963,3.09,0.839,11.08,6
8.26,0.34,0.311,1.37,0.162,30.1,90.1,0.9973,3.44,0.55,8.73,5
8.46,0.469,0.152,0.76,0.067,9.3,60.2,0.9954,3.53,0.674,12.92,6
11.33,0.562,0.398,4.45,0.116,1.4,26.2,0.9973,3.45,0.841,11.21,6
8.19,0.748,0.221,1.22,0.065,10.3,19.8,0.9975,3.25,0.642,11.05,6
9.74,0.759,0.093,2.01,0.127,9.5,56.1,0.9971,3.38,0.654,12.11,4
7.15,0.652,0.068,0.99,0.204,29.0,48.9,0.9957,3.57,0.896,8.68,5
10.33,0.703,0.158,2.62,0.099,16.5,32.7,0.9967,3.33,0.693,11.18,5
8.87,0.711,0.684,2.86,0.025,14.6,44.3,0.9969,3.16,0.6,8.5,3
5.76,0.548,0.218,1.87,0.133,8.7,44.8,0.9965,3.08,0.46,8.5,4
10.6,0.676,0.065,3.5,0.106,13.7,23.1,0.9994,3.4,0.605,10.33,5
6.44,0.457,0.349,4.22,0.063,18.8,79.8,0.9931,3.26,0.783,13.73,7
6.9,0.373,0.397,2.26,0.12,38.8,87.9,0.9942,3.34,0.641,10.18,5
9.69,0.372,0.3,3.23,0.147,36.8,94.5,0.9969,3.33,0.568,9.94,5
9.98,0.536,0.314,0.73,0.029,5.8,19.7,0.9988,3.29,0.486,9.16,5
8.86,0.414,0.0,2.97,0.024,19.5,69.8,0.9964,3.38,0.646,10.93,5
8.67,0.43,0.0,3.49,0.051,23.0,54.0,0.9957,3.21,0.704,9.67,6
8.3,0.557,0.356,3.27,0.126,13.7,91.2,0.9972,3.01,0.493,10.11,4
8.68,0.394,0.31,2.64,0.092,10.1,42.1,0.994,3.56,0.767,11.46,6
7.99,0.594,0.154,4.3,0.005,19.4,42.5,0.9959,3.51,0.806,9.9,6
7.41,0.803,0.269,2.86,0.113,7.1,32.0,0.9957,3.26,0.441,9.84,4
10.88,0.48,0.337,5.16,0.147,29.6,34.4,0.9949,3.33,0.937,11.29,7
8.46,0.596,0.0,5.23,0.185,18.8,40.0,0.9956,2.89,0.658,11.25,5
11.13,0.364,0.067,3.47,0.121,25.0,40.3,0.9985,3.2,0.724,10.28,6
11.59,0.743,0.475,4.89,0.055,20.4,46.8,0.9985,3.43,0.376,11.89,6
10.25,0.336,0.099,1.74,0.025,6.7,32.5,0.9952,3.59,0.693,8.5,5
9.72,0.3,0.167,4.85,0.195,1.0,44.8,0.9997,3.24,0.608,10.46,5
6.98,0.378,0.177,3.15,0.104,26.6,67.7,0.9962,3.21,0.525,11.29,5
7.42,0.358,0.06,2.37,0.151,29.3,64.7,0.9911,3.15,0.773,9.03,5
7.33,0.629,0.106,2.86,0.048,19.0,40.9,0.9973,3.6,0.778,9.47,4
7.62,0.105,0.435,2.84,0.089,23.2,54.7,0.9964,3.53,0.698,10.41,5
9.86,0.666,0.351,2.09,0.068,18.6,44.8,0.9986,3.3,0.667,11.92,5
6.51,0.53,0.344,2.82,0.14,38.2,79.0,1.0001,3.6,0.706,10.16,6
9.81,0.686,0.141,3.84,0.151,1.1,13.9,0.9973,3.34,0.574,8.5,4
10.62,0.452,0.13,4.65,0.149,20.0,39.2,0.9977,3.39,0.736,8.5,4
9.61,0.46,0.037,1.2,0.003,36.5,65.7,0.9958,3.33,0.556,9.08,5
10.38,0.655,0.189,3.94,0.068,26.5,32.2,0.9966,3.38,1.19,10.79,5
4.23,0.537,0.355,2.97,0.085,6.2,12.1,0.9992,3.47,0.251,12.05,5
8.73,0.682,0.406,6.12,0.113,17.5,62.2,0.9968,3.31,0.719,11.68,4
9.4,0.435,0.524,3.32,0.087,10.0,49.8,0.9972,3.45,0.433,8.98,4
9.03,0.649,0.119,0.9,0.09,25.1,72.0,0.9975,3.05,0.52,8.5,4
9.06,0.559,0.338,2.65,0.128,28.8,53.0,0.9927,3.04,0.508,9.86,4
8.53,0.495,0.411,1.67,0.118,19.3,31.5,0.996,3.42,0.837,10.95,5
8.24,0.523,0.058,0.49,0.119,11.9,62.2,0.9948,3.23,0.825,9.45,4
8.55,0.506,0.257,1.92,0.067,8.8,53.6,0.9988,3.48,0.736,10.75,6
10.42,0.606,0.439,3.89,0.074,8.1,63.5,0.9986,3.33,1.003,10.92,6
6.85,0.501,0.585,4.68,0.13,27.1,70.9,0.9991,3.44,0.857,10.17,5
8.08,0.445,0.643,1.14,0.062,30.7,60.4,0.9977,3.21,0.758,10.92,5
10.11,0.266,0.348,3.27,0.03,25.8,50.4,0.9941,3.51,0.683,10.88,5
8.29,0.425,0.263,2.02,0.051,28.8,51.4,0.9952,3.44,0.922,9.94,6
8.54,0.282,0.515,1.89,0.126,10.4,55.7,0.9997,3.3,0.589,9.58,5
6.71,0.262,0.139,3.47,0.091,20.4,64.1,0.9964,3.34,0.893,8.58,4
7.15,0.534,0.253,1.7,0.042,11.1,53.9,0.9997,3.34,0.91,11.64,5
9.03,0.287,0.585,2.11,0.057,14.6,42.9,0.9963,3.37,0.562,10.78,4
4.71,0.315,0.548,0.74,0.078,20.2,74.5,0.9961,3.28,0.603,11.26,6
6.89,0.559,0.556,4.43,0.067,7.1,44.4,0.9949,3.62,0.829,11.92,6
9.02,0.522,0.0,3.58,0.099,6.1,28.3,0.9991,3.59,0.839,9.94,3
8.89,0.166,0.462,2.69,0.028,1.2,36.2,0.9987,3.76,0.697,9.68,6
8.95,0.401,0.222,3.42,0.063,32.9,57.4,0.9962,3.39,0.612,11.12,7
9.55,0.276,0.277,2.47,0.138,19.6,28.7,1.0017,3.18,0.565,9.84,5
5.58,0.484,0.289,3.1,0.105,19.3,46.5,0.996,3.24,0.67,11.83,5
5.57,0.234,0.057,2.18,0.055,17.9,49.5,0.997,3.35,0.568,10.09,6
7.91,0.431,0.085,1.98,0.108,14.5,37.0,0.997,3.5,0.519,9.69,3
6.26,0.579,0.369,4.24,0.11,21.4,49.5,0.9969,3.22,0.606,8.5,3
5.38,0.724,0.0,3.22,0.136,18.3,31.0,0.9971,3.48,0.825,11.59,5
8.11,0.363,0.344,2.73,0.081,11.4,45.5,0.9961,3.34,0.589,10.46,5
9.12,0.205,0.512,2.62,0.083,8.4,24.3,0.9972,3.0,0.751,10.19,5
9.42,0.556,0.238,2.94,0.058,15.5,36.1,0.9936,3.58,0.693,12.43,6
8.5,0.65,0.327,2.27,0.084,19.6,56.1,0.9965,3.28,0.664,11.52,6
7.69,0.3,0.211,4.95,0.072,6.2,38.5,0.9977,3.0,0.385,11.59,6
11.26,0.57,0.471,2.46,0.084,20.0,44.4,0.9992,3.4,0.278,11.34,5
7.8,0.826,0.404,0.27,0.027,4.9,37.4,0.994,3.35,0.514,10.32,5
7.64,0.696,0.392,2.73,0.073,13.8,29.1,0.9955,2.97,0.563,11.05,5
7.67,0.707,0.0,3.03,0.059,0.4,35.4,0.9965,3.24,0.362,9.57,5
8.25,0.726,0.275,1.64,0.107,9.9,47.6,0.9983,3.25,0.746,8.5,4
8.16,0.339,0.463,2.0,0.068,34.4,56.6,0.996,3.49,0.921,11.41,6
8.96,0.304,0.24,3.31,0.108,1.5,32.7,0.9971,3.2,0.897,11.61,6
7.29,0.21,0.038,5.5,0.072,42.1,82.0,0.9933,3.33,0.586,11.74,5
9.25,0.843,0.638,2.55,0.136,9.9,79.9,0.9964,3.25,0.702,13.1,6
9.97,0.1,0.282,2.75,0.073,12.2,52.7,0.9979,3.19,0.861,12.6,8
9.68,0.706,0.38,3.43,0.115,13.8,45.3,0.9925,3.24,0.515,9.65,5
8.67,0.346,0.176,2.82,0.08,15.9,59.9,0.9978,3.34,0.276,9.58,5
8.08,0.246,0.815,4.01,0.101,9.0,43.8,0.9988,3.26,0.493,10.22,6
11.59,0.31,0.279,0.38,0.026,5.3,47.8,0.996,3.22,0.556,10.35,5
8.88,0.337,0.0,3.29,0.108,3.0,33.6,0.9946,3.33,0.739,8.5,5
11.49,0.687,0.207,3.81,0.068,22.1,35.3,0.9952,3.22,0.56,9.68,4
12.14,0.563,0.0,2.48,0.061,0.2,50.4,0.9951,3.56,0.716,11.5,7
5.62,0.556,0.003,0.09,0.136,29.7,44.1,0.9991,3.24,0.841,9.75,5
10.53,0.256,0.364,0.61,0.107,15.5,71.3,0.9971,3.35,0.479,9.07,4
9.15,0.328,0.021,2.38,0.061,18.1,57.9,0.9996,3.43,0.617,11.72,6
7.27,0.646,0.196,1.16,0.051,22.9,64.4,0.9952,3.28,0.667,9.87,4
9.98,0.552,0.389,1.9,0.107,17.7,24.5,0.9968,3.27,0.704,11.03,5
10.04,0.672,0.168,4.38,0.042,6.1,28.8,0.9971,3.38,0.89,8.99,5
9.43,0.334,0.342,0.77,0.006,19.7,55.0,0.9977,3.23,0.645,9.89,5
10.26,0.398,0.16,4.4,0.138,19.8,35.1,0.9964,3.25,0.299,9.94,3
8.75,0.69,0.27,1.25,0.022,2.0,50.4,0.998,3.38,0.291,11.14,4
8.83,0.524,0.487,3.53,0.101,8.0,12.1,0.9985,3.34,0.557,13.36,6
11.71,0.567,0.649,4.3,0.154,11.9,63.2,0.9975,3.28,0.771,10.42,5
9.57,0.533,0.325,1.4,0.061,20.6,43.3,0.9962,3.28,0.723,10.06,6
7.26,0.625,0.575,0.08,0.08,28.1,58.5,1.0007,3.46,0.841,9.79,5
5.02,0.525,0.502,0.58,0.156,4.7,5.4,0.9945,3.2,0.85,10.73,5
7.63,0.584,0.242,4.1,0.065,14.2,30.5,0.997,2.79,0.365,10.14,5
6.26,0.687,0.414,3.13,0.129,13.2,64.3,0.9934,3.16,0.54,10.64,4
7.15,0.808,0.309,2.67,0.074,23.6,66.4,0.9963,3.31,0.491,12.01,6
9.5,0.246,0.62,4.58,0.088,0.2,23.7,0.9973,3.35,0.513,8.5,5
7.89,0.833,0.101,1.45,0.121,6.2,29.2,0.9987,3.23,0.732,9.58,5
7.71,0.242,0.266,1.15,0.146,22.1,55.3,0.997,3.26,0.669,11.26,6
8.18,0.826,0.0,3.82,0.064,32.5,59.1,0.9955,3.25,1.013,9.88,4
11.79,0.537,0.204,2.66,0.039,24.0,47.3,0.9979,3.22,0.389,11.22,5
11.37,0.384,0.095,1.36,0.118,8.1,62.9,0.9972,3.19,0.757,9.98,4
9.03,0.589,0.332,2.24,0.027,2.5,28.8,0.9957,3.22,0.628,11.24,5
7.93,0.152,0.137,2.09,0.074,8.1,31.8,0.9942,3.33,0.736,8.5,6
9.33,0.562,0.33,3.5,0.092,27.4,42.1,0.9975,3.53,0.45,10.51,4
6.53,0.474,0.376,4.28,0.08,1.4,41.9,0.9959,3.15,0.433,10.58,6
6.28,0.66,0.431,2.64,0.149,23.2,53.0,0.9947,3.22,0.7,11.37,5
8.33,0.538,0.209,5.19,0.075,24.2,33.8,0.996,3.43,0.622,9.73,5
7.36,0.551,0.298,3.03,0.102,11.6,42.4,0.9978,3.13,0.974,11.44,6
7.72,0.466,0.615,2.89,0.129,10.5,55.2,0.9967,3.23,0.633,9.37,5
8.46,0.798,0.0,2.33,0.126,23.5,51.5,0.9948,3.27,0.481,10.07,6
8.38,0.754,0.408,2.16,0.097,42.8,59.3,0.9947,3.11,0.937,10.4,6
9.39,0.482,0.397,1.28,0.092,17.7,29.4,0.995,3.26,0.401,8.63,5
6.89,0.711,0.569,2.22,0.036,28.7,76.3,0.9966,3.44,0.664,11.87,7
8.42,0.6,0.0,2.94,0.049,16.0,42.6,0.9962,3.56,0.507,10.09,4
8.79,0.773,0.147,1.82,0.083,13.9,52.6,0.9978,3.49,0.83,12.1,5
9.75,0.877,0.419,3.88,0.056,11.3,59.4,1.0001,3.47,0.704,10.89,4
8.43,0.661,0.099,2.04,0.098,38.5,71.0,0.9975,3.39,0.721,11.66,5
6.5,0.491,0.561,4.57,0.056,31.1,70.3,0.9971,3.5,0.588,10.69,5
4.53,0.552,0.269,2.37,0.082,13.4,57.4,0.9967,3.14,0.51,9.37,5
7.6,0.581,0.408,2.45,0.098,13.6,29.9,0.9978,3.38,0.634,9.77,5
5.52,0.727,0.655,2.6,0.072,10.8,50.8,0.9962,3.09,0.752,12.81,5
7.72,0.312,0.367,2.49,0.093,1.6,40.5,0.9991,3.28,0.423,11.51,5
8.1,0.787,0.067,4.06,0.112,17.6,39.2,0.9961,3.37,0.619,10.61,5
6.35,0.228,0.237,2.25,0.087,19.6,48.8,0.9989,3.16,0.817,10.23,6
8.47,0.43,0.267,2.16,0.104,7.4,37.8,0.9975,3.34,1.041,9.46,5
8.9,0.756,0.433,5.03,0.012,16.7,54.4,0.9969,3.16,0.617,11.19,5
6.18,0.875,0.271,3.3,0.06,31.2,50.0,0.9972,3.39,0.463,10.91,5
7.55,0.402,0.27,2.76,0.124,10.0,14.2,0.9958,3.33,0.839,10.23,5
7.3,0.811,0.304,2.74,0.112,29.4,35.5,0.9979,3.38,0.921,10.17,5
4.33,0.558,0.371,1.85,0.131,20.7,54.9,0.9933,3.13,0.516,10.06,4
6.52,0.357,0.486,2.76,0.055,30.7,52.4,0.9966,3.13,0.716,9.23,5
8.45,0.542,0.216,3.77,0.063,25.5,43.6,0.996,3.29,0.731,11.56,5
7.92,0.475,0.255,4.9,0.079,17.5,30.5,0.9988,3.31,0.729,10.72,5
9.2,0.359,0.41,0.75,0.056,12.0,26.0,1.0025,3.19,0.195,10.83,6
6.0,0.654,0.258,2.08,0.093,23.7,36.7,1.0013,3.34,0.502,11.67,6
7.26,0.303,0.288,2.56,0.103,8.8,49.4,0.9966,3.15,0.656,10.58,5
6.5,0.642,0.269,0.93,0.026,11.6,29.6,0.9969,3.29,0.434,10.88,6
7.14,0.341,0.526,4.0,0.119,16.3,46.7,0.9979,3.21,0.751,8.75,5
7.03,0.334,0.521,2.52,0.081,25.7,65.5,0.9992,3.43,0.562,11.33,6
8.31,0.527,0.519,1.15,0.084,26.6,51.6,0.9981,3.24,0.633,8.68,4
8.74,0.3,0.467,2.23,0.176,36.6,51.3,1.0004,2.94,0.547,10.97,6
8.77,0.442,0.232,1.94,0.038,30.4,56.4,0.9966,3.33,1.282,11.44,7
7.2,0.245,0.609,1.02,0.149,19.7,57.5,0.9932,3.13,0.812,12.96,7
8.66,0.556,0.424,2.4,0.066,23.4,45.3,0.996,3.22,0.595,9.27,5
6.9,0.524,0.286,3.39,0.042,37.1,74.5,0.999,3.23,0.538,10.33,6
8.26,0.402,0.054,3.4,0.109,21.9,51.4,0.9953,3.46,0.659,11.18,5
10.41,0.432,0.455,1.7,0.078,7.4,30.5,0.9993,3.47,0.595,9.82,6
10.66,0.665,0.422,2.79,0.13,25.1,54.0,0.9972,3.3,0.485,10.3,6
8.85,0.292,0.473,5.09,0.024,29.8,59.0,0.9956,3.14,0.468,8.51,6
6.2,0.647,0.524,0.48,0.095,7.2,35.0,0.9975,3.44,0.682,10.24,4
8.89,0.581,0.286,0.27,0.125,18.9,61.3,0.9954,3.3,0.921,9.14,5
11.3,0.733,0.428,3.46,0.086,13.7,21.3,0.9974,3.36,0.186,11.32,4
9.69,0.614,0.064,3.45,0.074,22.4,43.6,0.9979,3.27,0.575,11.68,6
9.14,0.272,0.0,0.19,0.16,34.4,93.1,0.9965,3.44,0.775,12.98,6
8.58,0.641,0.009,2.11,0.086,42.4,85.7,0.9955,2.97,0.83,11.81,5
7.94,0.45,0.246,2.63,0.081,24.0,80.4,0.9945,3.27,0.615,10.29,5
6.23,0.534,0.527,1.53,0.082,24.5,66.4,0.9952,3.32,0.839,9.67,6
7.74,0.469,0.429,0.97,0.123,20.7,74.8,0.9951,3.16,0.593,9.86,5
6.67,0.19,0.649,3.93,0.046,8.3,19.1,0.9981,3.19,0.54,10.37,5
9.17,0.291,0.411,2.25,0.053,26.4,76.2,0.9953,3.06,0.476,10.77,5
9.75,0.635,0.149,3.08,0.097,15.3,59.2,1.0002,3.37,0.563,10.84,5
7.86,0.603,0.638,0.99,0.137,23.3,26.8,0.9981,3.49,0.648,9.0,6
6.95,0.811,0.4,2.18,0.105,23.2,43.4,0.9962,3.23,0.638,10.61,5
6.89,0.445,0.52,1.51,0.175,6.9,55.0,0.9984,3.29,0.758,10.72,6
7.98,0.43,0.115,1.26,0.096,34.1,48.1,0.9959,3.35,0.558,11.37,5
9.46,0.265,0.297,2.96,0.144,22.2,48.5,0.9951,3.23,0.417,13.6,5
8.57,0.819,0.21,1.8,0.057,25.7,65.9,0.997,3.13,0.572,10.29,5
4.0,0.484,0.246,4.44,0.09,34.0,62.0,0.997,3.21,0.677,10.89,5
7.34,0.73,0.191,2.91,0.014,23.8,43.9,0.9978,3.26,0.917,9.02,4
11.43,0.29,0.0,1.5,0.075,13.6,67.8,0.995,3.36,0.881,8.89,6
8.43,0.836,0.0,0.89,0.097,9.0,45.9,0.998,3.16,0.451,11.53,4
8.57,0.608,0.37,3.26,0.157,0.5,6.3,0.9978,3.47,0.87,9.58,4
8.7,0.57,0.29,1.57,0.07,2.4,45.4,0.9968,3.37,0.538,10.4,4
6.85,0.568,0.146,0.94,0.116,36.3,88.2,0.9983,3.03,0.77,10.66,4
4.86,0.455,0.497,3.52,0.036,24.8,66.6,0.9959,3.22,0.454,11.07,5
9.57,0.401,0.322,2.34,0.087,10.0,53.5,0.996,3.22,0.448,8.5,4
4.64,0.326,0.375,1.9,0.093,10.3,46.5,1.0024,3.3,0.658,11.99,5
8.97,0.766,0.252,3.16,0.111,33.7,59.0,0.9938,3.34,0.856,10.72,4
7.91,0.614,0.067,2.58,0.102,16.1,55.9,0.9973,3.38,0.742,11.63,4
8.08,0.617,0.366,3.62,0.171,22.5,73.3,0.996,3.42,0.642,12.03,4
5.54,0.668,0.336,0.48,0.129,9.1,64.3,0.9999,3.08,0.818,11.54,5
8.46,0.679,0.086,4.16,0.107,16.9,49.7,0.9961,3.12,0.839,10.15,5
6.29,0.63,0.346,4.2,0.128,12.0,41.4,0.9951,3.51,0.642,9.73,4
6.21,0.426,0.108,2.73,0.107,20.7,50.1,0.9972,3.25,0.413,11.17,4
6.56,0.824,0.162,0.67,0.078,12.4,44.4,0.9981,3.06,0.652,11.2,6
7.59,0.766,0.0,2.73,0.059,15.5,42.0,0.9962,3.22,0.758,10.58,5
6.86,0.602,0.161,2.98,0.073,37.3,68.5,0.9967,3.46,0.572,11.17,6
8.05,0.242,0.319,2.78,0.03,5.0,37.9,0.9977,3.58,0.761,9.61,4
9.94,0.587,0.411,0.65,0.047,6.9,31.3,0.9933,3.27,0.69,9.98,6
9.01,0.636,0.09,0.51,0.078,15.2,76.2,0.999,3.27,0.729,11.5,4
6.95,0.309,0.425,2.26,0.101,27.6,48.1,0.9967,3.37,0.714,10.65,5
9.76,0.493,0.224,3.28,0.166,3.6,46.5,0.998,3.24,0.696,10.07,6
7.24,0.634,0.438,3.02,0.101,14.6,59.9,0.9972,3.33,0.73,11.03,5
6.9,0.299,0.18,0.83,0.074,3.1,36.8,0.9968,3.51,0.62,9.3,5
10.82,0.601,0.144,3.24,0.097,9.5,77.3,0.9978,2.99,0.431,11.48,6
8.47,0.705,0.535,2.35,0.127,31.3,102.4,0.9963,3.4,0.71,9.4,3
6.45,0.621,0.575,1.59,0.11,20.7,49.9,1.0008,3.21,0.783,9.8,5
9.73,0.207,0.286,0.99,0.081,24.5,48.9,1.0002,3.26,0.707,10.42,4
8.93,0.726,0.499,4.53,0.101,1.7,21.5,0.9967,3.23,0.625,10.96,6
9.65,0.291,0.128,1.7,0.027,24.3,52.5,0.9987,3.36,0.871,10.93,5
9.18,0.373,0.464,2.85,0.087,9.7,35.3,0.9957,3.33,0.493,10.59,5
6.14,0.689,0.197,1.46,0.088,1.4,44.1,0.9958,3.41,0.714,9.25,5
7.47,0.567,0.214,2.76,0.044,8.0,21.7,0.9972,3.3,0.782,8.75,5
10.45,0.489,0.381,2.74,0.084,7.1,35.6,0.998,3.41,0.487,10.62,5
7.08,0.371,0.114,2.08,0.101,2.7,31.2,0.9973,3.35,0.42,10.23,5
7.41,0.472,0.29,0.59,0.105,34.2,69.4,0.9992,3.6,0.533,11.68,4
7.14,0.314,0.314,2.59,0.081,18.7,52.5,0.9957,3.18,0.573,11.57,5
6.9,0.514,0.567,3.34,0.088,21.9,35.9,0.9925,2.97,0.482,9.36,4
8.96,0.564,0.0,0.82,0.036,5.3,28.3,1.0003,3.37,0.774,11.02,5
8.67,0.451,0.039,2.05,0.177,2.8,28.9,0.9973,3.33,0.57,12.33,5
8.33,0.543,0.0,3.22,0.12,28.8,48.2,0.9997,3.37,0.919,11.94,5
8.23,0.443,0.375,2.63,0.154,15.5,27.8,0.9995,3.23,0.989,8.5,5
7.18,0.464,0.139,1.13,0.087,34.0,60.9,0.9957,3.27,0.415,9.04,3
9.35,0.597,0.512,0.85,0.171,15.4,60.3,0.9953,3.35,0.89,10.29,5
10.35,0.366,0.54,5.1,0.089,3.9,44.7,0.9962,3.22,0.821,11.22,5
9.54,0.593,0.198,1.81,0.121,28.2,77.6,0.9952,3.26,0.585,11.94,6
6.93,0.552,0.129,3.12,0.076,24.1,54.8,0.9941,3.24,0.718,11.69,5
8.97,0.982,0.151,2.0,0.049,19.1,40.9,0.9999,3.44,0.664,11.52,5
8.51,0.517,0.332,0.03,0.077,18.8,55.0,0.9979,3.13,0.746,11.81,5
7.76,0.584,0.167,4.35,0.039,12.3,20.1,0.9952,3.19,0.641,8.5,3
6.21,0.353,0.078,2.4,0.088,6.3,10.9,0.9951,3.22,0.795,10.41,5
7.37,0.992,0.138,4.71,0.104,0.8,66.5,0.9962,2.91,0.419,11.3,3
8.41,0.55,0.433,3.74,0.055,19.8,67.2,0.9972,3.33,0.627,9.84,5
7.5,0.369,0.43,3.77,0.08,9.8,28.0,0.9968,3.27,0.384,8.5,5
6.77,0.577,0.334,2.44,0.115,25.9,97.6,0.9961,3.68,0.666,9.7,5
8.01,0.575,0.05,1.87,0.112,7.9,16.1,0.9994,3.26,0.929,8.5,4
7.76,0.53,0.146,3.64,0.043,30.6,69.4,0.9912,3.43,0.621,11.32,5
6.72,0.391,0.204,3.21,0.104,23.9,46.8,0.997,3.11,0.393,8.57,5
9.2,0.518,0.288,3.17,0.024,11.4,38.3,0.9986,3.28,1.003,9.91,6
9.35,0.803,0.593,0.52,0.091,36.3,67.9,0.9968,3.22,0.715,10.06,5
8.95,0.371,0.154,0.82,0.094,14.9,54.2,0.9977,3.27,0.242,9.8,4
6.11,0.795,0.498,1.35,0.1,6.7,56.7,0.9983,3.24,0.46,10.25,4
10.4,0.541,0.706,3.55,0.151,3.9,10.6,0.9961,3.53,0.715,11.23,6
9.96,0.35,0.293,2.79,0.086,5.5,38.8,0.9948,3.26,0.638,10.52,6
5.87,0.641,0.478,1.54,0.08,18.6,54.8,0.9969,3.43,0.714,11.49,6
7.93,0.81,0.443,2.54,0.035,7.5,52.1,0.997,3.41,0.9,10.07,4
10.31,0.496,0.314,0.78,0.107,20.5,54.2,0.998,3.39,0.575,9.22,5
10.17,0.472,0.406,4.66,0.146,45.0,65.8,0.9992,3.43,0.423,11.01,4
4.33,0.782,0.254,0.95,0.043,5.1,19.6,0.9981,3.48,0.831,9.61,4
7.31,0.816,0.238,3.47,0.103,20.8,44.3,0.9964,3.42,0.559,10.38,5
6.93,0.514,0.377,3.19,0.104,22.8,69.5,0.9991,3.15,0.696,10.36,5
7.62,0.522,0.127,1.64,0.041,6.2,23.6,0.9977,3.19,0.795,10.96,5
8.39,0.131,0.0,3.35,0.124,14.2,23.4,0.9965,3.1,0.886,9.16,5
10.5,0.566,0.486,0.84,0.078,22.9,50.7,0.995,3.37,0.804,10.02,5
8.76,0.15,0.29,2.33,0.125,13.3,65.6,0.9962,3.44,0.817,10.61,5
8.82,0.228,0.0,2.9,0.059,1.8,70.8,0.9973,3.38,0.766,9.36,6
6.81,0.41,0.48,5.22,0.127,1.4,14.6,1.0003,3.3,0.738,12.02,5
9.57,0.434,0.099,3.18,0.139,27.4,61.7,0.9991,3.59,0.578,10.13,4
8.76,0.453,0.0,3.0,0.031,11.6,32.0,0.9955,3.16,0.612,9.52,5
7.97,0.35,0.387,2.78,0.079,14.3,60.2,0.9958,3.52,0.595,10.7,6
9.19,0.595,0.592,3.76,0.119,12.0,50.5,1.0012,3.32,0.645,10.08,5
7.7,0.536,0.463,2.34,0.047,11.8,43.5,0.9979,3.39,0.468,11.31,5
5.91,0.447,0.196,1.97,0.078,13.3,30.5,0.9986,3.11,0.506,8.99,5
6.42,0.393,0.28,4.17,0.111,28.0,83.2,0.9958,3.43,0.629,10.59,4
10.66,0.483,0.377,1.56,0.117,24.3,55.3,0.9968,3.42,0.441,9.4,4
8.79,0.58,0.458,4.7,0.071,36.1,62.8,0.9965,3.33,0.587,10.85,5
8.73,0.472,0.107,3.03,0.096,28.7,47.9,0.9996,3.4,0.872,11.43,5
12.77,0.572,0.402,3.32,0.1,24.5,45.1,0.9959,3.36,0.416,10.36,5
6.96,0.617,0.121,0.58,0.104,10.9,35.5,0.9968,3.38,1.039,9.68,5
7.92,0.83,0.49,3.54,0.15,19.0,67.5,0.9964,3.06,0.419,9.77,5
7.56,0.563,0.447,4.73,0.125,7.9,50.5,0.9969,3.12,0.733,10.58,6
6.74,0.263,0.0,4.14,0.004,19.1,41.4,0.9982,3.34,0.374,9.61,5
8.75,0.405,0.302,6.05,0.092,5.9,21.1,0.9957,3.24,0.494,9.51,5
8.03,0.725,0.254,4.82,0.115,7.4,42.8,0.9985,3.43,0.672,10.92,5
8.97,0.1,0.062,1.06,0.149,14.9,34.5,0.9966,3.2,0.55,11.67,5
4.07,0.105,0.212,1.83,0.073,3.6,36.3,0.9949,3.5,0.68,9.52,6
9.33,0.429,0.191,1.87,0.068,4.3,29.3,0.9954,3.32,0.405,9.49,5
9.6,0.711,0.059,3.62,0.08,32.9,43.4,0.9972,3.3,0.599,11.79,4
10.05,0.698,0.33,0.1,0.082,17.7,55.2,0.9996,3.08,0.822,10.09,5
7.75,0.797,0.0,0.11,0.112,10.4,64.7,0.9976,3.38,0.737,10.22,3
8.81,0.361,0.301,3.12,0.065,20.5,72.6,0.9974,3.35,0.898,11.57,6
6.83,0.652,0.575,1.32,0.034,5.5,24.9,0.9964,3.15,0.682,10.16,5
4.95,0.602,0.149,2.89,0.154,6.3,36.5,0.9975,3.22,0.382,10.11,3
11.61,0.748,0.427,2.88,0.084,18.0,35.8,1.003,3.16,0.651,10.83,5
8.78,0.61,0.142,0.4,0.041,29.5,37.9,0.9973,3.31,0.629,9.95,5
8.49,0.711,0.114,0.59,0.109,9.5,21.3,0.9985,3.23,0.33,10.14,4
9.86,0.78,0.152,2.7,0.038,15.9,23.8,0.9966,3.28,0.521,10.02,4
6.21,0.725,0.332,3.35,0.027,1.4,35.0,0.9985,3.15,0.265,9.66,4
